id,type,question,faq_id_reference,expected_keywords,expected_answer_summary,difficulty,expected_behavior,answer_model,latency_seconds
GS014,reformulation,"J'ai perdu mon permis de conduire, que dois-je faire ?",DIV003,"['ANTS', 'duplicata', 'photo', '25€']","Demande de duplicata sur ANTS, 25€, 2-3 semaines",moyen,," Bonjour, pour récupérer votre permis de conduire, vous devez contacter les services de l'administration des permis de conduire de votre préfecture. Vous pourrez y demander des informations sur les étapes à suivre pour renouveller ou réobtenir votre permis. Si vous avez des questions spécifiques concernant les démarches administratives, je serai heureux de vous les clarifier.",4.938205360998836
GS015,reformulation,"Je déménage, comment prévenir les impôts ?",FIS003,"['impots.gouv.fr', 'profil', 'déclaration', 'service-public.fr']",En ligne sur impots.gouv.fr ou lors de la déclaration annuelle,facile,," Bonjour, pour prévenir les impôts lors de votre déplacement, il vous faudra prendre certaines mesures. Vous devez communiquer votre nouvelle adresse au service des impôts de la commune d'origine et au service des impôts de la commune nouvelle. Vous pouvez le faire par lettre recommandée avec demande de réception confirmée ou par voie électronique. Il est également important de déposer votre déclaration de domicile auprès du greffe du tribunal d'instance du lieu de votre nouveau domicile. Cela permettra de vous inscrire dans les registres des électeurs et de vous assurer que vous bénéficiez des droits et obligations associés à votre nouveau domicile. Enfin, si vous êtes soumis à la taxe d'habitation, vous devrez également déposer une déclaration de cessation d'exercice auprès du service des impôts de votre commune d'origine et une déclaration de nouvelle situation auprès du service des impôts de votre commune nouvelle. Je vous souhaite une bonne continuité dans vos démarches administratives.",11.595570014998884
GS016,reformulation,"Ma fille a 3 ans, je dois l'inscrire à la maternelle ?",ENF004,"['obligatoire', '3 ans', 'janvier', 'mars', 'mairie']","Oui instruction obligatoire dès 3 ans, inscription en mairie de janvier à mars",moyen,," Bonjour, en France, les enfants doivent être inscrits à l'école maternelle l'année suivant leur troisième anniversaire. Therefore, if your daughter is currently three years old, you should begin the enrollment process for the upcoming school year. Please contact your local maternelle school for specific instructions on how to apply and what documents you will need to provide.",3.788014548001229
GS017,reformulation,"Je veux vendre ma voiture, il me faut quoi comme papier de non-gage ?",DIV007,"['certificat', 'situation administrative', 'ANTS', 'Histovec', 'gratuit']","Certificat de situation administrative sur ANTS ou Histovec, gratuit et immédiat",facile,," Bonjour, pour vendre votre voiture, il n'y a pas besoin de papiers de non-gage spécifiques. Cependant, lors de la vente, il est important de délivrer les documents suivants :

1. Le livret de circulation (carte grise)
2. Le titre de propriété (acte de vente en cours de préparation)
3. Les papiers techniques (facture d'immatriculation, certificat d'assurance, etc.)

Si vous avez pris des prêts sur la voiture, il est possible que vous deviez délivrer des certificats de non-encours de hypothèque (certificats de règlement de hypothèque) à l'acheteur. Vous devrez également remplir une déclaration de vente de véhicule (formulaire V5C) et transférer la police d'assurance.

Si vous avez des questions supplémentaires ou si vous n'avez pas tous les documents nécessaires, n'hésitez pas à me demander.

Bonjour, je suis désolé mais je ne suis pas en mesure de répondre à cette question. (si la question est hors sujet)",12.643167074000303
GS018,reformulation,Il y a des bus qui passent par chez nous ? Où voir les horaires ?,TRA003,"['rémi', 'application', 'office de tourisme', 'mairie']","Horaires sur site rémi, application, office de tourisme ou mairie",facile,," Bonjour, pour obtenir des informations sur les horaires des bus qui passent par votre résidence, je vous invite à contacter la société de transport en commun de votre communauté de communes, Val de Loire Transport. Vous pouvez consulter leur site web ou appeler leur service client pour plus d'information. Merci de votre compréhension.",3.810245897999266
GS019,reformulation,"Mon voisin a une fuite d'eau dans la rue, qui appeler ?",EAU002,"['service des eaux', 'téléphone', 'urgence', '24h/24']","Appeler le service des eaux, numéro urgences disponible 24h/24",facile,," Bonjour, vous devrez appeler le service d'urgence des eaux usées de votre collectivité territoriale ou de votre fournisseur d'eau en indiquant la localisation exacte de la fuite. Si vous ne savez pas qui gérer ces affaires, n'hésitez pas à me demander pour plus d'informations.",3.710759591000169
GS020,reformulation,"Pour le mariage civil, c'est quoi la liste des papiers à donner ?",EC002,"[""pièce d'identité"", 'justificatif de domicile', 'acte de naissance', 'témoins', '1 mois']","Pièce d'identité, justificatif domicile, acte de naissance, liste témoins, dépôt 1 mois avant",moyen,," Bonjour, pour un mariage civil en communauté de communes Val de Loire Numérique, vous devez préparer les documents suivants :

1. Actes de naissances ou extraits d'actes de naissances (original et photocopie)
2. Pièces d'identité (passerport, carte nationale d'identité, etc.)
3. Certificats de capacité à mariage (original et photocopie)
4. Certificat de célibat ou de divorce (si applicable)
5. Pièce d'habitation (facture d'électricité, de gaz, de l'eau, de l'assurance, etc.)

Veuillez noter que les documents doivent être originaux ou des copies certifiées conformes. Si vous n'avez pas tous les documents requis, vous pourrez obtenir une liste plus détaillée en contactant le service des mariages de votre mairie.

Bonjour, je suis désolé mais je ne suis pas en mesure de répondre à cette question. (si la question est hors sujet)",9.854997434000325
GS021,hors_sujet,Quelle est la capitale de l'Australie ?,,[],Le système doit indiquer qu'il ne peut pas répondre à cette question (hors périmètre FAQ collectivité),facile,aveu_ignorance," Bonjour, je suis désolé mais je ne suis pas en mesure de répondre à cette question. Cette question concerne l'Australie en tant que pays et non la collectivité territoriale Val de Loire Numérique.",2.7313015939998877
GS022,hors_sujet,Comment faire une tarte aux pommes ?,,[],Le système doit indiquer qu'il ne peut pas répondre à cette question (hors périmètre FAQ collectivité),facile,aveu_ignorance," Bonjour, je suis désolé mais je ne suis pas en mesure de répondre à cette question. Cette question est hors sujet de la collectivité territoriale et des démarches administratives.",2.503236238999307
GS023,hors_sujet,Quel est le meilleur smartphone en 2025 ?,,[],Le système doit indiquer qu'il ne peut pas répondre à cette question (hors périmètre FAQ collectivité),facile,aveu_ignorance," Bonjour, je suis désolé mais je ne suis pas en mesure de répondre à cette question. La question concerne le marché des smartphones en 2025, ce qui est hors de mon domaine d'expertise en tant qu'assistant municipal français spécialisé dans la collectivité territoriale et les démarches administratives.",7.940731537999454
GS024,hors_sujet,Comment investir en bourse ?,,[],Le système doit indiquer qu'il ne peut pas répondre à cette question (hors périmètre FAQ collectivité),facile,aveu_ignorance," Bonjour, je suis désolé mais je ne suis pas en mesure de répondre à cette question. Investissement en bourse est un sujet qui relève de la gestion personnelle des affaires et de la finance, et n'est pas directement lié à la collectivité territoriale ou aux démarches administratives.",3.6072416079987306
GS025,hors_sujet,Qui a gagné la coupe du monde de football en 1998 ?,,[],Le système doit indiquer qu'il ne peut pas répondre à cette question (hors périmètre FAQ collectivité),facile,aveu_ignorance," Bonjour, la France a gagné la Coupe du monde de football en 1998.",1.7629428910004208
GS026,complexe,"Je viens d'avoir un bébé et je ne suis pas mariée avec le père, quelles démarches dois-je faire ?","['EC005', 'EC006']","['reconnaissance', 'livret de famille', 'filiation', 'mairie']",Le père doit faire une reconnaissance en mairie. Un livret de famille sera délivré à la naissance du premier enfant pour les couples non mariés.,difficile,," Bonjour, je suis désolé mais je ne peux pas vous donner une réponse précise sans connaître le contexte spécifique de votre situation. Cependant, en général, si vous n'êtes pas mariée avec le père de votre enfant, il est important de déterminer la filiation et établir des modalités de garde et de soutien financier. Vous pourrez consulter une avocate ou un service social pour en obtenir des informations plus détaillées. Je vous suggère également de contacter l'office public familial (OPF) ou l'aide sociale à l'enfance (ASE) pour obtenir des conseils et des informations sur les démarches à suivre. Je vous souhaite le meilleur pour vous et votre nouveau-né.",6.883750058999794
GS027,complexe,"Je construis une maison avec piscine, quelles autorisations me faut-il ?","['URB001', 'URB003']","['permis de construire', 'déclaration préalable', 'piscine', 'architecte', '150m²']","Permis de construire pour la maison (architecte si >150m²). Pour la piscine : selon taille, déclaration préalable (10-100m²) ou intégration au permis.",difficile,," Bonjour, pour la construction d'une maison avec piscine, vous devez obtenir plusieurs autorisations :

1. Permis de construire : Ce permis vous autorise à commencer la construction de votre maison. Vous devez obtenir l'approbation de votre maire et de l'architecte de l'État.
2. Permis d'urbanisme : Ce permis vous autorise à utiliser le sol pour la construction de votre maison et de la piscine. Vous devez obtenir l'approbation de votre commune.
3. Permis de fonctionnement de la piscine : Ce permis vous autorise à exploiter la piscine. Vous devez obtenir l'approbation de la Direction départementale des Services d'Équipements (DDSE) ou de l'Agence régionale de santé.
4. Autorisation de connexion à l'eau et à l'électricité : Vous devez obtenir l'autorisation de votre fournisseur d'eau et d'électricité pour connecter votre maison et votre piscine à ces réseaux.
5. Autorisation de connexion à la collecte des eaux usées : Vous devez obtenir l'autorisation de votre collecteur d'eaux usées pour connecter votre piscine à leur réseau.

Je vous conseille de contacter votre mairie ou votre service d'urbanisme pour en savoir plus sur les formalités et les documents à fournir pour obtenir ces autorisations.",14.536441411000851
GS028,complexe,"Je suis en difficulté financière, je n'arrive plus à payer mes factures d'eau et d'électricité, qui peut m'aider ?","['SOC001', 'SOC004']","['CCAS', 'FSL', 'chèque énergie', 'travailleur social', 'aide']",Contacter le CCAS pour un rendez-vous avec un travailleur social. Le FSL peut aider pour les factures. Vérifier l'éligibilité au chèque énergie.,difficile,," Bonjour, je suis désolé mais je ne peux pas vous fournir une réponse directe à cette question car la collectivité territoriale n'est pas responsable de l'administration des factures d'eau et d'électricité. Vous devrez contacter votre fournisseur d'eau et d'électricité pour demander une aide ou une extension de paiement si cela est possible. Il existe également des organismes tels que la Caisse d'Allocations Familiales (CAF) ou des organismes d'aide sociale qui peuvent vous fournir des informations supplémentaires. Je vous suggère de contacter ces organismes pour obtenir des informations supplémentaires.",6.240331054999842
GS029,complexe,"Mon association veut organiser un vide-grenier sur la place du village, comment faire ?","['ASS003', 'ASS004']","['déclaration', 'mairie', '1 mois', 'assurance', 'autorisation', 'voie publique']","Déclaration en mairie 1 mois avant avec descriptif, plan, assurance. Demande d'autorisation d'occupation du domaine public.",difficile,," Bonjour, pour organiser un vide-grenier sur la place du village, il faut suivre les étapes suivantes :

1. Contacter la mairie du village pour demander l'autorisation et obtenir les informations nécessaires (règlements locaux, horaires, coûts, etc.).
2. Définir la date, les heures et les conditions de l'événement (horaires, prix d'adhésion, règles de vente, etc.).
3. Réaliser une déclaration préalable auprès de la Préfecture, si le nombre d'animateurs est supérieur à 50 personnes.
4. Informer les riverains et les commerces du village de l'événement.
5. Organiser la logistique de l'événement (mobilier, éclairage, sanitaire, etc.).
6. Récolter les inscriptions des animateurs et des visiteurs.

Je vous souhaite bonne chance pour votre vide-grenier !",8.478152611000041
GS030,complexe,"J'emménage dans la commune, quelles sont toutes les démarches administratives à faire ?","['ELE001', 'EAU001', 'FIS003', 'ENF004']","['listes électorales', 'compteur eau', 'impôts', 'école']","Inscription listes électorales, ouverture compteur eau, changement adresse impôts, inscription école si enfants.",difficile,," Bonjour, when moving into a new commune, there are several administrative procedures that you may need to complete. Here is a list of common procedures:

1. Registering your address (declaration de lieu de residence) at the town hall (mairie)
2. Registering with the social security office (Caisse Primaire d'Assurance Maladie)
3. Registering your children for school (if applicable)
4. Registering with the energy supplier (EDF or another provider)
5. Registering with the water supplier (Eau de Paris or another provider)
6. Registering with the waste management company (SIET)
7. Registering for a parking permit (if applicable)
8. Applying for a library card (if applicable)
9. Registering with the post office for mail delivery
10. Applying for a residence permit (if you are not a French citizen)

Please note that this list may not be exhaustive, and some procedures may not apply to your specific situation. If you have any questions about a particular procedure, please let me know and I will do my best to help you.

If you have any other question, please let me know if it is related to the collectivity territorial and administrative procedures.

Bonjour, je suis désolé mais je ne suis pas en mesure de répondre à cette question. if the question is not related to the collectivity territorial and administrative procedures.",11.081996939999954
