id,type,question,faq_id_reference,expected_keywords,expected_answer_summary,difficulty,expected_behavior,answer_model,latency_seconds
GS011,reformulation,"Je voudrais un extrait de naissance, comment faire ?",EC001,"['service-public.fr', 'mairie', 'lieu de naissance', 'gratuit']",Même réponse que pour acte de naissance,facile,," Bonjour, vous pouvez obtenir un extrait de naissance en ligne sur le site service-public.fr, par courrier à la mairie du lieu de naissance, ou directement au guichet. La demande est gratuite. Munissez-vous d'une pièce d'identité. Le délai de délivrance est de 3 à 10 jours ouvrés selon le mode de demande.",4.6041401289985515
GS012,reformulation,C'est quoi les jours de ramassage des poubelles ?,DEC001,"['mardi', 'vendredi', 'mercredi', 'centre-ville', 'périphérie']","Mardi et vendredi centre-ville, mercredi quartiers périphériques",facile,," Bonjour, les jours de ramassage des ordures ménagères sont le mardi et le vendredi pour le centre-ville, et le mercredi pour les quartiers périphériques et les communes rurales.",2.5845181490003597
GS013,reformulation,On peut jeter quoi dans la poubelle de recyclage ?,DEC004,"['emballages', 'plastique', 'métal', 'carton', 'papier']","Emballages plastiques, métalliques, cartons, papiers",facile,," Dans le bac jaune, on peut jeter : emballages plastiques, emballages métalliques, briques alimentaires, et tous les papiers-cartons. Tous les emballages doivent être vides mais non lavés. Ne pas imbriquer les emballages.",3.3252914610002335
GS014,reformulation,"J'ai perdu mon permis de conduire, que dois-je faire ?",DIV003,"['ANTS', 'duplicata', 'photo', '25€']","Demande de duplicata sur ANTS, 25€, 2-3 semaines",moyen,," Bonjour, pour obtenir une copie de permis de conduire après perte, vous devez faire une demande de duplicata en ligne sur le site de l'ANTS (ants.gouv.fr). Vous aurez besoin d'une photo numérique, d'un justificatif de domicile, et d'une déclaration de perte ou d'un récépissé de dépôt de plainte. Le coût est de 25€ et le délai est de 2 à 3 semaines.",6.584101313999781
GS015,reformulation,"Je déménage, comment prévenir les impôts ?",FIS003,"['impots.gouv.fr', 'profil', 'déclaration', 'service-public.fr']",En ligne sur impots.gouv.fr ou lors de la déclaration annuelle,facile,," Bonjour, vous pouvez déclenser un changement d'adresse en ligne sur impots.gouv.fr, rubrique ""Gérer mon profil"" ou lors de votre déclaration de revenus annuelle. Vous pouvez également utiliser le service ""Je change d'adresse"" sur service-public.fr qui prévient plusieurs administrations en une seule démarche.",4.009689991000414
GS016,reformulation,"Ma fille a 3 ans, je dois l'inscrire à la maternelle ?",ENF004,"['obligatoire', '3 ans', 'janvier', 'mars', 'mairie']","Oui instruction obligatoire dès 3 ans, inscription en mairie de janvier à mars",moyen,," Oui, vous devez inscrire votre fille à l'école maternelle car l'instruction est obligatoire à partir de 3 ans. Vous pouvez faire l'inscription en mairie entre janvier et mars pour la rentrée de septembre. Veillez à avoir un livret de famille, un justificatif de domicile et un carnet de santé à jour pour le processus d'inscription. La mairie vous délivrera un certificat d'inscription à présenter à l'école.",6.477985482000804
GS017,reformulation,"Je veux vendre ma voiture, il me faut quoi comme papier de non-gage ?",DIV007,"['certificat', 'situation administrative', 'ANTS', 'Histovec', 'gratuit']","Certificat de situation administrative sur ANTS ou Histovec, gratuit et immédiat",facile,," Bonjour, pour obtenir un certificat de situation administrative (non-gage) pour vendre votre voiture, vous pouvez le obtenir gratuitement et immédiatement en ligne sur le site de l'ANTS (ants.gouv.fr) ou sur Histovec (histovec.interieur.gouv.fr). Ce document indique si le véhicule est gagé ou fait l'objet d'une opposition.",4.2258167439995304
GS018,reformulation,Il y a des bus qui passent par chez nous ? Où voir les horaires ?,TRA003,"['rémi', 'application', 'office de tourisme', 'mairie']","Horaires sur site rémi, application, office de tourisme ou mairie",facile,," Bonjour, les horaires de bus sont disponibles sur le site Rémi (remi-centrevaldeloire.fr), à l'office de tourisme, et aux arrêts de bus. Vous pouvez également utiliser l'application Rémi pour consulter les horaires en temps réel et calculer votre itinéraire. Les fiches horaires papier sont également disponibles en mairie. Je vous suggère de consulter ces sources pour obtenir les horaires de bus qui passent par chez vous.",4.906763472999955
GS019,reformulation,"Mon voisin a une fuite d'eau dans la rue, qui appeler ?",EAU002,"['service des eaux', 'téléphone', 'urgence', '24h/24']","Appeler le service des eaux, numéro urgences disponible 24h/24",facile,," Bonjour, pour signaler une fuite d'eau sur la voie publique ou une canalisation du réseau, appelez le service des eaux au 02 XX XX XX XX (urgences 24h/24 au 02 XX XX XX XX). Localisez précisément la fuite (adresse, repère visuel).",3.5828307870015124
GS020,reformulation,"Pour le mariage civil, c'est quoi la liste des papiers à donner ?",EC002,"[""pièce d'identité"", 'justificatif de domicile', 'acte de naissance', 'témoins', '1 mois']","Pièce d'identité, justificatif domicile, acte de naissance, liste témoins, dépôt 1 mois avant",moyen,," Bonjour, chaque futur époux doit fournir une pièce d'identité en cours de validité, un justificatif de domicile de moins de 3 mois, un acte de naissance de moins de 3 mois (6 mois si délivré à l'étranger), et la liste des témoins (2 à 4 personnes majeures) pour se marier. Le dossier doit être déposé à la mairie au moins 1 mois avant la date souhaitée.",4.885191782999755
GS021,hors_sujet,Quelle est la capitale de l'Australie ?,,[],Le système doit indiquer qu'il ne peut pas répondre à cette question (hors périmètre FAQ collectivité),facile,aveu_ignorance," Bonjour, je ne peux pas répondre à cette question car elle n'est pas liée à la collectivité territoriale et aux démarches administratives de la communauté de communes Val de Loire Numérique. Je ne dispose pas de suffisamment d'informations pour répondre à cette question.",3.4018491710012313
GS022,hors_sujet,Comment faire une tarte aux pommes ?,,[],Le système doit indiquer qu'il ne peut pas répondre à cette question (hors périmètre FAQ collectivité),facile,aveu_ignorance," Je suis désolé, je ne peux pas répondre à cette question car elle n'est pas liée à la collectivité territoriale et aux démarches administratives, et je n'ai pas assez d'informations pour répondre. N'oubliez pas que la tarte aux pommes n'est pas liée aux thèmes de la FAQ fournie (culture-sport, fiscalité, logement, eau-assainissement).",4.741346335998969
GS023,hors_sujet,Quel est le meilleur smartphone en 2025 ?,,[],Le système doit indiquer qu'il ne peut pas répondre à cette question (hors périmètre FAQ collectivité),facile,aveu_ignorance," Je suis désolé, je ne peux pas répondre à cette question car elle n'est pas liée à la collectivité territoriale et aux démarches administratives. Je ne dispose pas assez d'informations pour répondre à une telle question. N'oubliez pas que je dois me baser strictement sur la FAQ fournie et ne mentionner la FAQ ni ses informations dans ma réponse.",4.214545480999732
GS024,hors_sujet,Comment investir en bourse ?,,[],Le système doit indiquer qu'il ne peut pas répondre à cette question (hors périmètre FAQ collectivité),facile,aveu_ignorance," Je suis désolé, mais la question actuelle ne concerne pas la collectivité territoriale et les démarches administratives. Je ne peux donc pas répondre à cette question en utilisant uniquement les informations fournies dans la FAQ.",3.0957791340006224
GS025,hors_sujet,Qui a gagné la coupe du monde de football en 1998 ?,,[],Le système doit indiquer qu'il ne peut pas répondre à cette question (hors périmètre FAQ collectivité),facile,aveu_ignorance," Bonjour, je ne peux pas répondre à cette question car elle n'est pas liée à la collectivité territoriale et aux démarches administratives, et je n'ai pas assez d'informations pour le faire.",4.944257453998944
GS026,complexe,"Je viens d'avoir un bébé et je ne suis pas mariée avec le père, quelles démarches dois-je faire ?","['EC005', 'EC006']","['reconnaissance', 'livret de famille', 'filiation', 'mairie']",Le père doit faire une reconnaissance en mairie. Un livret de famille sera délivré à la naissance du premier enfant pour les couples non mariés.,difficile,," Bonjour, pour inscrire votre enfant au centre de loisirs (ALSH), vous devez aller en mairie ou utiliser le portail famille. Vous aurez besoin de la fiche sanitaire, une attestation d'assurance et, si vous bénéficiez de l'aide sociale, un justificatif CAF pour le tarif. Les inscriptions pour les vacances s'ouvrent un mois avant. Le tarif par jour varie de 5€ à 25€ (inclus les repas).

Pour vous marier, chaque futur époux doit fournir une pièce d'identité en cours de validité, un justificatif de domicile de moins de 3 mois, un acte de naissance de moins de 3 mois (6 mois si délivré à l'étranger), et la liste des témoins (2 à 4 personnes majeures). Le dossier doit être déposé à la mairie au moins 1 mois avant la date souhaitée.

Si vous ne souhaitez pas vous marier, vous pouvez demander une aide sociale auprès du Centre Communal d'Action Sociale (CCAS) en mairie. Un travailleur social vous recevra sur rendez-vous pour évaluer votre situation et vous orienter vers les aides adaptées : aide alimentaire, FSL, aide au paiement des factures. La permanence est le mardi et jeudi de 9h à 12h.

Pour obtenir un passeport pour vous ou votre enfant, vous devez faire une demande sur rendez-vous dans une mairie équipée. Vous aurez besoin d'une photo d'identité aux normes, un justificatif de domicile et un timbre fiscal (86€ adulte, 42€ 15-17 ans, 17€ moins de 15 ans). Le délai est de 2 à 6 semaines selon la période.",16.038525959000253
GS027,complexe,"Je construis une maison avec piscine, quelles autorisations me faut-il ?","['URB001', 'URB003']","['permis de construire', 'déclaration préalable', 'piscine', 'architecte', '150m²']","Permis de construire pour la maison (architecte si >150m²). Pour la piscine : selon taille, déclaration préalable (10-100m²) ou intégration au permis.",difficile,," Bonjour, pour installer une piscine avec une maison, les autorisations suivantes sont nécessaires en fonction de sa taille et de son abri :

- Pour une piscine hors-sol installée moins de 3 mois ou une piscine enterrée de moins de 10m² : aucune autorisation.
- De 10 à 100m² : déclaration préalable de travaux.
- Au-delà de 100m² ou avec un abri de plus de 1,80m de haut : permis de construire.

Un dispositif de sécurité homologué est obligatoire pour toute piscine.",7.043383276999521
GS028,complexe,"Je suis en difficulté financière, je n'arrive plus à payer mes factures d'eau et d'électricité, qui peut m'aider ?","['SOC001', 'SOC004']","['CCAS', 'FSL', 'chèque énergie', 'travailleur social', 'aide']",Contacter le CCAS pour un rendez-vous avec un travailleur social. Le FSL peut aider pour les factures. Vérifier l'éligibilité au chèque énergie.,difficile,," Bonjour, vous pouvez demander de l'aide au Fonds de Solidarité Logement (FSL) en matière de paiement de vos factures d'énergie. Ce fonds peut prendre en charge une partie de vos factures en cas de difficulté. Vous devez contacter le CCAS ou un conseiller France Services pour vérifier votre éligibilité et constituer un dossier FSL.",4.32346297299955
GS029,complexe,"Mon association veut organiser un vide-grenier sur la place du village, comment faire ?","['ASS003', 'ASS004']","['déclaration', 'mairie', '1 mois', 'assurance', 'autorisation', 'voie publique']","Déclaration en mairie 1 mois avant avec descriptif, plan, assurance. Demande d'autorisation d'occupation du domaine public.",difficile,," Bonjour, pour organiser un vide-grenier sur la place du village, vous devez faire une demande auprès du service vie associative de la mairie. Ce service vous fournira les informations nécessaires et vous aidera dans l'organisation de l'événement. Il est préconisé de faire cette demande au moins 3 semaines à l'avance. Le coût et les détails pratiques varient selon les communes, donc il est important de contacter directement le service vie associative de votre commune pour en obtenir les renseignements précis.",5.347562225999354
GS030,complexe,"J'emménage dans la commune, quelles sont toutes les démarches administratives à faire ?","['ELE001', 'EAU001', 'FIS003', 'ENF004']","['listes électorales', 'compteur eau', 'impôts', 'école']","Inscription listes électorales, ouverture compteur eau, changement adresse impôts, inscription école si enfants.",difficile,," Bonjour, pour emménager dans la commune, vous devrez effectuer les démarches suivantes :

1. Inscrire votre nouvelle adresse auprès de la mairie pour être rattaché au bon bureau de vote.
2. Faire une demande de logement social, si c'est applicable, en ligne ou en mairie. Vous recevrez un numéro unique départemental valable 1 an (renouvelable). Documents nécessaires : pièces d'identité, avis d'imposition, justificatifs de revenus.
3. Si vous bénéficiez d'aides sociales, faire une demande auprès du CCAS en mairie. Un travailleur social vous recevra sur rendez-vous pour évaluer votre situation et vous orienter vers les aides adaptées : aide alimentaire, FSL, aide au paiement des factures. Permanence le mardi et jeudi de 9h à 12h.

Ces démarches doivent être effectuées en priorité pour vous aider à vous installer dans la commune. Si vous avez des questions supplémentaires, n'hésitez pas à nous contacter.",10.060173137000675
